Location,Latitude,Longitude
"KLCC, Kuala Lumpur",3.1592469,101.7133662
"Damansara Heights, Kuala Lumpur",3.1523954,101.6584455
"Dutamas, Kuala Lumpur",3.0322822,101.7598842
"Cheras, Kuala Lumpur",3.0991919,101.7374229
"Bukit Jalil, Kuala Lumpur",3.0533462,101.6802937
"Taman Tun Dr Ismail, Kuala Lumpur",3.13614135,101.63073733065777
"Seputeh, Kuala Lumpur",3.1136874,101.68142
"Sri Petaling, Kuala Lumpur",3.06140365,101.68707652974132
"Ampang Hilir, Kuala Lumpur",3.1585208,101.7401858
"Bukit Tunku (Kenny Hills), Kuala Lumpur",3.1690079,101.6810955660636
"Mont Kiara, Kuala Lumpur",3.1699988,101.6521467
"Desa ParkCity, Kuala Lumpur",3.1863832,101.63181560535014
"Bangsar South, Kuala Lumpur",3.1129733,101.6667294
"Sungai Besi, Kuala Lumpur",3.0651937,101.7108785
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3.08173705,101.66009836560184
"Kepong, Kuala Lumpur",3.2140294,101.634842
"Jalan Kuching, Kuala Lumpur",3.1826204,101.6709999
"KL City, Kuala Lumpur",3.1516964,101.6942371
"Taman Melawati, Kuala Lumpur",3.2106238,101.7485727
"Sentul, Kuala Lumpur",3.18186495,101.68860702136836
"KL Sentral, Kuala Lumpur",3.1341106,101.6865153
"Setapak, Kuala Lumpur",3.1975774,101.7139655
"Bangsar, Kuala Lumpur",3.1275597,101.67906015692496
"City Centre, Kuala Lumpur",-15.85202345,-47.90144255
"Bukit Bintang, Kuala Lumpur",3.1471068,101.7086011
"Jalan Sultan Ismail, Kuala Lumpur",3.1543429,101.7072758
"Kuchai Lama, Kuala Lumpur",3.0894376,101.6846759
"Country Heights Damansara, Kuala Lumpur",3.1780561,101.6312206098046
"Taman Desa, Kuala Lumpur",3.1030637,101.6850208
"Segambut, Kuala Lumpur",3.1864418,101.66419635834626
"Batu Caves, Kuala Lumpur",3.2377898,101.68135992619528
"Wangsa Maju, Kuala Lumpur",3.20577815,101.7318614896659
"Ampang, Kuala Lumpur",3.15025555,101.7602100919416
"Sri Hartamas, Kuala Lumpur",3.1618463,101.6500542
"Klcc, Kuala Lumpur",3.1592469,101.7133662
"Bukit Kiara, Kuala Lumpur",3.1404447,101.644898
"Setiawangsa, Kuala Lumpur",3.17572695,101.73588184967002
"OUG, Kuala Lumpur",3.0738801,101.6716058
"Chan Sow Lin, Kuala Lumpur",3.1283746,101.71659308577868
"Bandar Menjalara, Kuala Lumpur",3.1941339,101.6272283
"KL Eco City, Kuala Lumpur",3.118504,101.674107
"Sunway SPK, Kuala Lumpur",3.1860817,101.62127772949007
"Pantai, Kuala Lumpur",2.7815196,101.9931586
"ADIVA Desa ParkCity, Kuala Lumpur",,
"Jalan Ipoh, Kuala Lumpur",3.18934865,101.6811496591015
"Mid Valley City, Kuala Lumpur",3.11871795,101.6789186277896
"Brickfields, Kuala Lumpur",3.1288572,101.6845528
"Desa Pandan, Kuala Lumpur",3.1482687,101.7380746
"Keramat, Kuala Lumpur",5.97265345,116.08784079397788
"Pandan Indah, Kuala Lumpur",3.1347587,101.74669285602346
"Desa Petaling, Kuala Lumpur",3.0841851,101.7035521
"Federal Hill, Kuala Lumpur",3.1385905,101.6790622
"Other, Kuala Lumpur",,
"Pandan Perdana, Kuala Lumpur",3.1138358,101.7410843
"Bandar Damai Perdana, Kuala Lumpur",3.047418,101.7386035
"Puchong, Kuala Lumpur",3.0342324,101.6170345
"Salak Selatan, Kuala Lumpur",3.0982927,101.7054061
"SEMARAK, Kuala Lumpur",3.1818453,101.722045
"Titiwangsa, Kuala Lumpur",3.1734326,101.6952621805828
"Damansara, Kuala Lumpur",3.137881,101.5966877
"Bandar Tasik Selatan, Kuala Lumpur",3.0760972,101.71144670916505
"Alam Damai, Kuala Lumpur",3.0647077,101.7407346
"Bukit Ledang, Kuala Lumpur",2.2098953,102.651091
"Jinjang, Kuala Lumpur",3.20952335,101.65580395
"Gombak, Kuala Lumpur",3.2330444,101.7145742
"The Mines Resort, Kuala Lumpur",3.037612,101.72195732295144
"Sri Kembangan, Kuala Lumpur",3.0097031999999997,101.71429005515094
"Taman Duta, Kuala Lumpur",3.1561927,101.67605422877256
"Happy Garden, Kuala Lumpur",4.7361312,115.0004129
"Taman Yarl, Kuala Lumpur",3.0721447,101.66808044704788
"Pandan Jaya, Kuala Lumpur",3.13022725,101.73897774315984
"U-THANT, Kuala Lumpur",2.521947,113.833569
"Taman Tijani Ukay, Kuala Lumpur",3.194408,101.676369
"Taman TAR, Kuala Lumpur",3.16672445,101.76848782441422
"Sungai Penchala, Kuala Lumpur",3.1312513,101.6305329
"TAMAN MELATI, Kuala Lumpur",3.21951715,101.72187599744552
"Off Gasing Indah,, Kuala Lumpur",,
"Landed Sd, Kuala Lumpur",,
"Seri Kembangan, Kuala Lumpur",3.0340649,101.7055684
"Petaling Jaya, Kuala Lumpur",3.0988792,101.6454202
Kuala Lumpur,3.1516964,101.6942371
"Taman Wangsa Permai, Kuala Lumpur",3.2092536000000003,101.61033976631066
"taman cheras perdana, Kuala Lumpur",3.04273135,101.76539711832336
"Santuari Park Pantai, Kuala Lumpur",3.0888567,101.6668716
"Sri Damansara, Kuala Lumpur",3.19854055,101.6211333544988
"Bukit  Persekutuan, Kuala Lumpur",3.1385905,101.6790622
"Wangsa Melawati, Kuala Lumpur",3.2127238,101.7430908
"Taman Yarl OUG, Kuala Lumpur",,
"Kota Damansara, Kuala Lumpur",3.1536719,101.593544
"Taman Ibukota, Kuala Lumpur",3.21146725,101.71537755808792
"Ukay Heights, Kuala Lumpur",3.2174733,101.759233
"SANTUARI PARK PANTAI, Kuala Lumpur",3.0888567,101.6668716
"Singapore, Kuala Lumpur",,
"Bandar Sri Damansara, Kuala Lumpur",3.1934939,101.6127619
"cyberjaya, Kuala Lumpur",2.9338908,101.6455587
"Taman Yarl, UOG, Kuala Lumpur",,
"Sungai Long SL8, Kuala Lumpur",,
"Gurney, Kuala Lumpur",3.18555515,101.63529443183408
"taman connaught, Kuala Lumpur",3.07918175,101.74514270157756
"Bukit Damansara, Kuala Lumpur",3.1523954,101.6584455
"Kemensah, Kuala Lumpur",3.2198748,101.7667447
"Jalan U-Thant, Kuala Lumpur",3.1543994,101.7264642
"Rawang, Kuala Lumpur",3.3189044,101.57501872488436
"Solaris Dutamas, Kuala Lumpur",3.171081,101.66590643964932
"duta Nusantara, Kuala Lumpur",3.1677094500000003,101.6654286866124
"Bandar Sri damansara, Kuala Lumpur",3.1934939,101.6127619
"Casa Rimba, Kuala Lumpur",3.2197283,101.73710823165295
"kepong, Kuala Lumpur",3.2140294,101.634842
"Taman Sri Keramat, Kuala Lumpur",3.1746844000000003,101.7492710393256
"Canary Residence, Kuala Lumpur",3.08972015,101.74991436879247
"Taming Jaya, Kuala Lumpur",3.0245431,101.7414556200341
"Kuala Lumpur, Kuala Lumpur",3.1516964,101.6942371
